Raw Material Name,Category,Sub Category,Unit,HSN Code
Sugar Buru - Sweets,additives,additives,kg,-
Sugar Powder Piseli - Fine Sugar Powder,additives,additives,kg,-
Khaand - Sugar Sulphur Free Whole,additives,additives,kg,-
Pharma Grade Sugar,additives,additives,kg,-
Varakh / Silver Leaves Catch Jainam Baba Silver Star Amee,additives,expensive rm,packet,-
Girnar Masala Tea Premix Sachet,additives,additives,packet,-
Mithai Booster Pouch - Preservative,additives,additives,piece,-
Baking Powder,additives,additives,kg,-
Eagle Dry Yeast,additives,additives,kg,-
Eno-Fruit Salt,additives,additives,kg,-
Fatakdi,additives,additives,kg,-
Green Tea,additives,additives,kg,-
Gulab Jal-Rose Water,additives,additives,bottle,-
Kewda Jal - Pandan Leaf Water,additives,additives,bottle,-
Mishri Dana-Rock Sugar,additives,additives,kg,-
Nimbu Phool-Citric Acid,additives,additives,kg,-
Papad Kharo - Alkaline Salt,additives,additives,kg,-
Safed Gundar-Acacia Gum,additives,additives,kg,-
Sindhav Mithu - Rock Salt,additives,additives,kg,-
Tata Khava No Soda E 500,additives,additives,kg,-
Vinegar-Acetic Acid,additives,additives,bottle,-
Washing Soda / Soda Ash-Sodium Carbonate,additives,additives,kg,-
Asariyo,additives,additives,kg,-
Gulab Patti-Dry Rose Pettle,additives,additives,kg,-
Kesar - Saffron Baby Brand,additives,expensive rm,gm,-
Oxygen Absorber Sorbhead Cilicant,additives,additives,piece,-
Brown Sugar,additives,additives,kg,-
Dezarto Camlin Chemical,additives,additives,kg,-
Flex Printing,advertising and marketing,marketing,piece,-
Frame for Banners,advertising and marketing,marketing,piece,-
Printing And Stationary - Marketing Department,advertising and marketing,marketing,piece,-
Corporate Brochure,advertising and marketing,marketing,piece,-
Corporate Brochure Cover,advertising and marketing,marketing,piece,-
Product Brochure,advertising and marketing,marketing,piece,-
Product Brochure Cover,advertising and marketing,marketing,piece,-
Amazon Parcel - Hanuram,amazon,amazon,piece,-
Amazon Parcel - ACD Mam,amazon,amazon,piece,-
Amazon Parcel - DRD Sir,amazon,amazon,piece,-
Chocolate Nankhatai,bakery,repacking,packet,-
Coconut Nankhatai,bakery,repacking,packet,-
Little Heart Biscuit,bakery,repacking,packet,-
Salted Kaju Biscuit,bakery,repacking,packet,-
Pastry,bakery,bakery,piece,-
Slice Bread,bakery,bakery,packet,-
Ladi Pav,bakery,bakery,packet,-
Fan Khari (200 Gms),bakery,repacking,packet,-
Gulkand Nankhatai (250 Gms)(R),bakery,repacking,packet,-
Nankhatai (250 Gms)(R),bakery,repacking,packet,-
Coca Cola (300 ML),beverages,trading,tin,-
Coca Cola (250 ML),beverages,trading,bottle,-
Limca (250 ML),beverages,trading,bottle,-
Diet Coke (300 ML),beverages,trading,tin,-
Fanta (300 ML),beverages,trading,tin,-
Frooti Tetra Pak (135 ML),beverages,beverages,bottle,-
Jeeru Soda (300 ML),beverages,trading,bottle,-
Maaza Mango Tetra Pak (135 ML),beverages,trading,bottle,-
Plain Soda (750 ML),beverages,trading,bottle,-
Sprite (250 ML),beverages,trading,bottle,-
Sprite (300 ML),beverages,trading,tin,-
Thums Up (300 ML),beverages,trading,tin,-
Aam Panna Juice (200 ML)(R),beverages,trading,bottle,-
Jeera Masala Juice (200 ML),beverages,trading,bottle,-
Nimbu Masala Juice (200 ML),beverages,trading,bottle,-
Lemon Mint Ice Tea (200 ML),beverages,trading,bottle,-
Peach Ice Tea (200 ML),beverages,trading,bottle,-
Real Litchi Juice,beverages,beverages,bottle,-
Mogu Mogu Apple (300 ML),beverages,trading,bottle,-
Mogu Mogu Grapes (300 ML),beverages,trading,bottle,-
Mogu Mogu Lychee (300 ML),beverages,trading,bottle,-
Mogu Mogu Mango (300 ML),beverages,trading,bottle,-
Mogu Mogu Orange (300 ML),beverages,trading,bottle,-
Mogu Mogu Strawberry (300 ML),beverages,trading,bottle,-
Mineral Water (1 Ltr),beverages,beverages,bottle,-
Mineral Water (500 ML),beverages,beverages,bottle,-
Mineral Water (200 ML),beverages,beverages,bottle,-
Nylon Poha - Rice Flakes,cereals and products,cereals,kg,-
Solapuri Poha-Rice Flakes - Solapuri,cereals and products,cereals,kg,-
Noodles,cereals and products,cereals,kg,-
Makai Poha-Corn Flakes,cereals and products,cereals,kg,-
Mamra-Rice Puff,cereals and products,cereals,kg,-
Rai Fada,cereals and products,cereals,kg,-
Staff Poha - Rice Flakes,cereals and products,cereals,kg,-
Uttam Suji - Semolina,cereals and products,cereals,kg,-
Staff Rice,cereals and products,cereals,kg,-
Basmati Rice- Sela Rice (Punjabi),cereals and products,cereals,kg,-
Dosa Rice - Rice Boiled,cereals and products,cereals,kg,-
Golden Sela Rice (Chinese),cereals and products,cereals,kg,-
Jain Tomato Ketchup,condiments,condiments,bottle,-
Kiwi Crush,condiments,condiments,bottle,-
Litchi Crush,condiments,condiments,bottle,-
Mango Crush,condiments,condiments,bottle,-
Orange Crush,condiments,condiments,bottle,-
Pineapple Crush,condiments,condiments,bottle,-
Strawberry Crush,condiments,condiments,bottle,-
Chocolate Sauce,condiments,condiments,bottle,-
Paan Chutney,condiments,condiments,kg,-
Mixed Fruit Essance,condiments,condiments,bottle,-
Rooh Afza Syrup,condiments,condiments,bottle,-
Mukhwas,condiments,condiments,kg,-
Honey Syrup,condiments,condiments,kg,-
Non Jain - Red Chili Sauce,condiments,condiments,bottle,-
Non Jain - Soya Sauce,condiments,condiments,bottle,-
Non Jain / Regular Tomato Ketchup,condiments,condiments,packet,-
Tomato Puree,condiments,condiments,tin,-
Cheesy Spread And Dip,condiments,condiments,kg,-
Chilly Flakes,condiments,condiments,packet,-
Pickle,condiments,condiments,kg,-
Chocolate Chips - Dark,confectionary,confectionary,kg,-
Chocolate Chips - White,confectionary,confectionary,kg,-
Chocolate Dark Compound,confectionary,confectionary,kg,-
Chocolate Milk Compound,confectionary,confectionary,kg,-
Chocolate White Compound,confectionary,confectionary,kg,-
Hershey's Black Berry Chocolate Almonds (30 Gms),confectionary,trading,packet,-
Daliya Chikki (250 Gms),confectionary,repacking,packet,-
Dryfruit Chikki (250 Gms),confectionary,repacking,packet,-
Black Til Chikki (250 Gms),confectionary,repacking,packet,-
Kopra Chikki (250 Gms),confectionary,repacking,packet,-
Mawa Chikki (250 Gms),confectionary,repacking,packet,-
Peanut Chikki (250 Gms),confectionary,repacking,packet,-
Til Chikki (250 Gms),confectionary,repacking,packet,-
Til Laddoo,confectionary,repacking,packet,-
Guava Papad Jar,confectionary,repacking,bottle,-
Jelly Chocolate Jar,confectionary,repacking,bottle,-
Jelly Sugar Jar,confectionary,repacking,bottle,-
Kacha Aam Candy,confectionary,repacking,bottle,-
Mango Candy,confectionary,repacking,bottle,-
Mix Fruit Candy,confectionary,repacking,bottle,-
Mix Fruit Jelly,confectionary,confectionary,kg,-
Mix Fruit Papad,confectionary,repacking,bottle,-
Orange Candy (150 Gms),confectionary,repacking,bottle,-
Shahi Gulab Mukhwas - Mini Bottle,confectionary,repacking,piece,-
Sweet Mango,confectionary,repacking,bottle,-
Dollur Amla Jar,confectionary,trading,bottle,-
Aam Papad Jar,confectionary,repacking,bottle,-
Oreo Chocolate Biscuit,confectionary,trading,packet,-
Amulya Milk Powder,dairy products,dairy,kg,-
Butter (Amul),dairy products,expensive rm,packet,-
Cheese - Processed Cheese,dairy products,expensive rm,kg,-
Cream - Milk Cream,dairy products,expensive rm,litre,-
Amul Gold Standardised Milk,dairy products,dairy,litre,-
Cow Ghee - Clarified Butter Cow,dairy products,expensive rm,kg,-
Milk - Cow,dairy products,dairy,litre,-
Shrikhand,dairy products,dairy,kg,-
Coconut Milk,dairy products,dairy,litre,-
Ghee Buffalo - Clarified Butter Buffalo,dairy products,expensive rm,kg,-
Chocolate Icecream Bulk,dairy products,dairy,kg,-
Strawberry Ice Cream Bulk,dairy products,dairy,box,-
Vanilla Ice Cream Bulk,dairy products,dairy,box,-
Dahi-Curd,dairy products,dairy,kg,-
Milk - Gold,dairy products,dairy,litre,-
Danedar Mitho Thabdi Mawa,dairy products,dairy,kg,-
Fikko Mawo,dairy products,dairy,kg,-
Mawa Cow,dairy products,dairy,kg,-
Mitha Mawa - Sweet Khoa,dairy products,dairy,kg,-
Paneer-Cottage Cheese,dairy products,dairy,kg,-
Amul Mithai Mate (200 Gms),dairy products,dairy,packet,-
Chaas - Buttermilk,dairy products,dairy,litre,-
Milk Maid (200 Gm),dairy products,dairy,packet,-
Milk - Shakti,dairy products,dairy,litre,-
Amul Gold Milk Tetra Pak,dairy products,dairy,litre,-
Lights,electrical items,electrical,piece,-
Air Conditioners (AC),electrical items,electrical,piece,-
Mosquito Machine,electrical items,electrical,piece,-
Sensors And Controllers,electrical items,electrical,piece,-
Electrical Equipments,electrical items,electrical,piece,-
Electrical Parts,electrical items,electrical,piece,-
Equipment Parts,electrical items,electrical,piece,-
Fans,electrical items,electrical,piece,-
Switches Plates Mod Boxes etc,electrical items,electrical,piece,-
Wires And Cables,electrical items,electrical,piece,-
Weighing Scales,electrical items,electrical,piece,-
Pumps,electrical items,electrical,piece,-
Pump Accessories,electrical items,electrical,piece,-
Motors,electrical items,electrical,piece,-
Motor Parts,electrical items,electrical,piece,-
Fridges,electrical items,electrical,piece,-
Misc Electrical Items,electrical items,electrical,piece,-
Sealing Machines,electrical items,electrical,piece,-
Deep Freezers,electrical items,electrical,piece,-
Dal Makhani Frozen,food,trading,packet,-
Frozen French Fries,food,trading,kg,-
Farali Kopra Petis,food,trading,kg,-
Cheese Corn Samosa,food,trading,kg,-
Sada Khaman,food,food,kg,-
Ready Undhiyu,food,trading,kg,-
Chinese Samosa,food,trading,kg,-
Farali Cutlet,food,trading,kg,-
Farali Patra,food,trading,kg,-
Farali Sabudana Vada,food,trading,kg,-
Lilva Kachori,food,trading,kg,-
Makai Bhakhrwadi,food,trading,kg,-
Anar/Dadam/Pomogranate,fruits,fruits,kg,-
Apple,fruits,fruits,kg,-
Banana,fruits,fruits,kg,-
Chiku,fruits,fruits,kg,-
Grapes (Green),fruits,fruits,kg,-
Guava (Jamfal),fruits,fruits,kg,-
Kacha Banana - Kela,fruits,fruits,kg,-
Papaya,fruits,fruits,kg,-
Sakarteti,fruits,fruits,kg,-
Tarbuch - Watermelon,fruits,fruits,kg,-
Grapes (Black),fruits,fruits,kg,-
Lpg Gas Cylinder,fuel,fuel,bottle,-
Dry Ice,fuel,fuel,kg,-
Ice,fuel,fuel,kg,-
Diesel,fuel,fuel,litre,-
Nitrogen Gas,fuel,fuel,bottle,-
Kolsa - Coal Loose,fuel,fuel,kg,-
Motor Oil,fuel,fuel,litre,-
Misc Furniture Items,furniture,furniture,piece,-
Chairs,furniture,furniture,piece,-
Happy Diwali Combo Gift Box (Blue)1.75Kg,gifting,gifting,piece,-
Lets Celebrate White Box,gifting,gifting,piece,-
Lets Celebrate White separators (White),gifting,gifting,piece,-
Golden separator For 1Kg Gift Box,gifting,gifting,piece,-
Gifting 9 inch Net Hamper Tokri,gifting,gifting,piece,-
Fancy Gift Box 3 Line (330 Gms),gifting,gifting,piece,-
Fancy Gift Box 3 Line (500 Gms),gifting,gifting,piece,-
Fancy Gift Box 4 Line (01 Kg),gifting,gifting,piece,-
Dry Fruit Box 200 Gms (4 Cp),gifting,gifting,piece,-
Dry Fruit Box 400 Gms (4 Cp),gifting,gifting,piece,-
Dry Fruit Box 600 Gms (6 Cp),gifting,gifting,piece,-
Dry Fruit Box 1 Kg (4 Cp),gifting,gifting,piece,-
2pc Laddoo Gift Box,gifting,gifting,piece,-
Holi Hamper Hanuram Box,gifting,gifting,piece,-
Gifting Tray 10 X 14 ( Dori ),gifting,gifting,piece,-
Gifting Tray 10 X 14 ( Handle Tray ),gifting,gifting,piece,-
Gifting Tray 14 inch,gifting,gifting,piece,-
Gifting Tray 16 inch,gifting,gifting,piece,-
Gifting - Velvet Basket,gifting,gifting,piece,-
Gifting - Velvet Tokri (Square),gifting,gifting,piece,-
Fancy Embroidery Basket,gifting,gifting,piece,-
Sweet Corn Cream,grocery,grocery,kg,-
Agarbatti,grocery,grocery,packet,-
Coffee Powder,grocery,grocery,kg,-
Kapoor,grocery,grocery,packet,-
Kumkum Kanku,grocery,grocery,kg,-
Match Box,grocery,grocery,packet,-
Gud Safed - Jaggery White,grocery,grocery,kg,-
Lijjat Papad,grocery,grocery,kg,-
Sabudana-Tapioca Balls,grocery,grocery,kg,-
Responder Pesticides Liquid For Ants/Cockroach,house keeping,housekeeping,litre,-
Dustbin,house keeping,housekeeping,piece,-
Harpik 500Ml,house keeping,housekeeping,bottle,-
Nirma Powder,house keeping,housekeeping,kg,-
Phenyle,house keeping,housekeeping,litre,-
Air Pocket,house keeping,housekeeping,piece,-
Air Kwick Machine,house keeping,housekeeping,piece,-
Air Kwick Refill 330,house keeping,housekeeping,piece,-
Apron,house keeping,housekeeping,piece,-
Chex Duster Big,house keeping,housekeeping,piece,-
Clean Plus Face Tissues,house keeping,housekeeping,packet,-
Colin 500Ml,house keeping,housekeeping,piece,-
Dettol Hand Wash,house keeping,housekeeping,litre,-
Dry Mop Blue 24 inch,house keeping,housekeeping,piece,-
Thinner,house keeping,housekeeping,litre,-
Garbage Bag 19*21,house keeping,housekeeping,packet,-
Garbage Bags 29*39,house keeping,housekeeping,packet,-
Glass Cleaner,house keeping,housekeeping,litre,-
Glass Cloth Duster,house keeping,housekeeping,piece,-
Hand Glows Rubber,house keeping,housekeeping,packet,-
Hand Sanitizer,house keeping,housekeeping,litre,-
Hard Broom,house keeping,housekeeping,piece,-
Kala Hit,house keeping,housekeeping,bottle,-
Khadi Cloth Duster,house keeping,housekeeping,piece,-
Mop With Handle,house keeping,housekeeping,piece,-
Ms Supadi Big,house keeping,housekeeping,piece,-
Municipality Broom,house keeping,housekeeping,piece,-
N 95 Mask,house keeping,housekeeping,packet,-
Nepthyle Ball,house keeping,housekeeping,kg,-
ACID,house keeping,housekeeping,litre,-
Nylon Brush With Handle,house keeping,housekeeping,piece,-
Room Freshner,house keeping,housekeeping,bottle,-
Scotch Brite,house keeping,housekeeping,piece,-
Soft Broom,house keeping,housekeeping,piece,-
Steel Scotch Brite,house keeping,housekeeping,piece,-
Stick Broom,house keeping,housekeeping,piece,-
Toilet Cleaner,house keeping,housekeeping,litre,-
Toilet Tissue Roll,house keeping,housekeeping,roll,-
White Cleaner,house keeping,housekeeping,litre,-
Wiper,house keeping,housekeeping,piece,-
Yellow Duster,house keeping,housekeeping,piece,-
Mortein Spray,house keeping,housekeeping,piece,-
Cockroach Gel,house keeping,housekeeping,bottle,-
Colgate,house keeping,housekeeping,piece,-
Ddt Powder,house keeping,housekeeping,kg,-
Nivea Soap,house keeping,housekeeping,packet,-
Pitamber Powder,house keeping,housekeeping,kg,-
Rat Cake,house keeping,housekeeping,piece,-
Sodium Carbonate,house keeping,housekeeping,packet,-
Disposable Caps ( Hair Net),house keeping,housekeeping,packet,-
Madar Pat (Cotton Cloth),house keeping,housekeeping,meter,-
Caustic Soda,house keeping,housekeeping,kg,-
Door Mat,house keeping,housekeeping,piece,-
Drain Cleaning Powder,house keeping,housekeeping,kg,-
Empty Bottels,house keeping,housekeeping,piece,-
Garbage Plastic Bags 38*38,house keeping,housekeeping,kg,-
Mouse And Rat Glue Board,house keeping,housekeeping,piece,-
Floor Wash Cleaning,house keeping,housekeeping,kg,-
Liquid Soap (Bartan),house keeping,housekeeping,kg,-
Hand Wash Liquid,house keeping,housekeeping,litre,-
Safety Shoes,house keeping,housekeeping,set,-
CCTV Accessories,it items,it,piece,-
Computers Laptops Printer,it items,it,piece,-
Computer accessories and parts,it items,it,piece,-
Printer accessories and parts,it items,it,piece,-
Exhaust Hood,kitchen equipment,kitchen,piece,-
Kitchen Tables,kitchen equipment,kitchen,piece,-
Sink,kitchen equipment,kitchen,piece,-
Bain Marie,kitchen equipment,kitchen,piece,-
Burner / Bhatti / Chulha Tables,kitchen equipment,kitchen,piece,-
Gas Regulator,kitchen equipment parts,parts,piece,-
Gas Pipe,kitchen equipment parts,parts,piece,-
Medicine,medicine,medicine,packet,-
Besan-Flour - Bengal Gram Fine,mixed flours,flours,kg,-
Energetic Maida Flour - Refined Wheat Flour,mixed flours,flours,kg,-
Staff Atta - Staff Wheat Flour,mixed flours,flours,kg,-
Pure Ghau No Lot - Pure Wheat Flour (Restaurant),mixed flours,flours,kg,-
Kanki Kormu - Handvo Flour,mixed flours,flours,kg,-
Kathiyawadi Besan,mixed flours,flours,kg,-
Besan For Fulwadi - Kakru,mixed flours,flours,kg,-
Besan For Mohanthal - Kakru,mixed flours,flours,kg,-
Besan For Motichoor - Barik,mixed flours,flours,kg,-
Daaliya Atta-Flour - Roasted Bengal Gram,mixed flours,flours,kg,-
Ghau Kakro Atta - Pure Wheat Flour Coarse,mixed flours,flours,kg,-
Methi Lot-Flour - Fenugreek,mixed flours,flours,kg,-
Moth / Math Atta - Flour - Moth Beans,mixed flours,flours,kg,-
Udad Atta Kakru-Flour - Black Gram Coarse,mixed flours,flours,kg,-
Udad Lot Fine Barik - Black Gram Fine Flour,mixed flours,flours,kg,-
Singoda Atta-Flour - Chestnut,mixed flours,flours,kg,-
Corn Flour - Aara Lot,mixed flours,flours,kg,-
Rajagro Flour,mixed flours,flours,kg,-
Angoori Atta,mixed flours,flours,kg,-
Idli Rava-Idli Semolina,mixed flours,flours,kg,-
Rice Atta - Rice Flour,mixed flours,flours,kg,-
Achari Lavash (175 Gms)(R),namkeen,trading,bottle,-
Peri Peri Lavash (175 Gms)(R),namkeen,trading,bottle,-
Pudina Lavash (175 Gms)(R),namkeen,trading,bottle,-
Roasted 9 In One Pudina (200 Gms)(R),namkeen,trading,bottle,-
Roasted Bajra Mix Salted (200 Gms)(R),namkeen,trading,bottle,-
Roasted 5 Grain Mix (250Gms)(R),namkeen,trading,bottle,-
Roasted Jowar - Flakes Mix Khatta Meetha (120 Gms),namkeen,trading,bottle,-
Roasted Kolhapuri Mix Garlic Flavour (200 Gms)(R),namkeen,trading,bottle,-
Roasted Nutri-Diet Mix Lime Tomato (200 Gms)(R),namkeen,trading,bottle,-
Roasted Quinoa Crisps Mix Classic Masala (200Gms)(R),namkeen,trading,bottle,-
Roasted Ragi Crisps Mix Hing Jeera (200 Gms)(R),namkeen,trading,bottle,-
Aachari Khakhra,namkeen,repacking,packet,-
Bajri Khakhra 200 Gms,namkeen,repacking,packet,-
Jeeralu Khakhra,namkeen,repacking,packet,-
Lasan Bhakarwadi,namkeen,repacking,kg,-
Lilo Chevdo,namkeen,repacking,kg,-
Makai Chevdo,namkeen,repacking,kg,-
Masala Khakhra,namkeen,repacking,packet,-
Methi Khakhra,namkeen,repacking,packet,-
Mug Khakhra,namkeen,repacking,packet,-
Nylon Gathiya,namkeen,repacking,kg,-
Plain Khakhra 200 Gms,namkeen,repacking,packet,-
Potato Wafers (Rock Salt),namkeen,repacking,kg,-
Ragi Khakhra,namkeen,repacking,packet,-
Lasan Chakri,namkeen,repacking,packet,-
Methi Chakri,namkeen,repacking,packet,-
Plain Chakri,namkeen,repacking,packet,-
Makhana - Nimbu Masala(90Gms)(R),namkeen,trading,bottle,-
Makhana - Peri Peri,namkeen,trading,bottle,-
Makhana - Salt/Pepper(R),namkeen,trading,bottle,-
Bhadran Mag,namkeen,repacking,kg,-
Chana Jor Garam 250Gms (R),namkeen,repacking,kg,-
Dal Moth,namkeen,repacking,kg,-
Farali Chevdo (Tikho),namkeen,repacking,kg,-
Jini Sev,namkeen,repacking,kg,-
Masala Peanut,namkeen,repacking,kg,-
Mag Jor,namkeen,repacking,kg,-
Mix Kathol,namkeen,repacking,kg,-
Nadiyadi Mix (250 GM),namkeen,repacking,kg,-
Ratlami Sev,namkeen,repacking,kg,-
Tomato Stick,namkeen,repacking,kg,-
Maniyara Masala Khakhra,namkeen,trading,packet,-
Maniyara Methi Khakhra,namkeen,trading,packet,-
Chakna Singh Cheese Blast,namkeen,repacking,kg,-
Chakna Singh Cheesy Jalapeno,namkeen,repacking,kg,-
Chakna Singh Mexicana,namkeen,repacking,kg,-
Chakna Singh Smokey Cheese,namkeen,repacking,kg,-
Chakna Singh Tikka Cheese,namkeen,repacking,kg,-
Schezwan Soya Stick,namkeen,repacking,kg,-
Soya Stick,namkeen,repacking,kg,-
Garlic Mix,namkeen,repacking,kg,-
Hanuram Mix,namkeen,repacking,kg,-
Bhatha Kani,namkeen,repacking,kg,-
Khatta Mitha Mix,namkeen,repacking,kg,-
Surti Special Mix,namkeen,repacking,kg,-
Tomato Balls,namkeen,repacking,kg,-
Long Banana Red Mirch Wafers (Rock Salt),namkeen,repacking,kg,-
Round Banana Mari Wafers (Rock Salt),namkeen,repacking,kg,-
Round Yellow Banana Wafers,namkeen,repacking,kg,-
Coffee Beans,nuts seeds and dry fruits,nuts,kg,-
Khajur-Dates,nuts seeds and dry fruits,nuts,kg,-
Dried Blue Berry,nuts seeds and dry fruits,trading,kg,-
Dried Cherry,nuts seeds and dry fruits,trading,kg,-
Dried Green Pomelo,nuts seeds and dry fruits,trading,kg,-
Dried Guava,nuts seeds and dry fruits,trading,kg,-
Dried Kiwi,nuts seeds and dry fruits,trading,kg,-
Dried Mango,nuts seeds and dry fruits,trading,kg,-
Dried Pineapple Coin,nuts seeds and dry fruits,trading,kg,-
Dried Read Plums,nuts seeds and dry fruits,trading,kg,-
Dry Strawberry (R),nuts seeds and dry fruits,trading,kg,-
Masala Mix Berries(R),nuts seeds and dry fruits,trading,kg,-
Green Kharek,nuts seeds and dry fruits,nuts,kg,-
Kaju Kani (Punjabi),nuts seeds and dry fruits,expensive rm,kg,-
Kakdi Biya-Cucumber Seeds,nuts seeds and dry fruits,nuts,kg,-
Kismish-Raisins,nuts seeds and dry fruits,nuts,kg,-
Kopra Kaachli-Dry Coconut,nuts seeds and dry fruits,nuts,kg,-
Kopra Salli-Grated Dry Coconut,nuts seeds and dry fruits,nuts,kg,-
Magajtari-Watermelon Seeds - Peeled,nuts seeds and dry fruits,nuts,kg,-
Sing Dana Whole - Peanuts Whole,nuts seeds and dry fruits,nuts,kg,-
Sing Fada - Peanut Splits,nuts seeds and dry fruits,nuts,kg,-
Safed White Til - Sesame Seeds,nuts seeds and dry fruits,nuts,kg,-
Charoli,nuts seeds and dry fruits,nuts,kg,-
Akhrot-Walnuts Kernel,nuts seeds and dry fruits,expensive rm,kg,-
Anjeer-Dried Fig,nuts seeds and dry fruits,expensive rm,kg,-
Badam Kagdi-Almond Kagdi,nuts seeds and dry fruits,nuts,kg,-
Badam Premium-Almond - Premium,nuts seeds and dry fruits,expensive rm,kg,-
Badam St-Almond - Single Touch,nuts seeds and dry fruits,expensive rm,kg,-
Badam Tukda-Almond Chunks,nuts seeds and dry fruits,nuts,kg,-
Kaju Premium - Dryfruit Box Kaju,nuts seeds and dry fruits,expensive rm,kg,-
Kaju Fada - Namkeen,nuts seeds and dry fruits,expensive rm,kg,-
Kaju Tukda (For Mithai) - Cashew Chunks,nuts seeds and dry fruits,expensive rm,kg,-
Kasoori Pisti - Sweets Decor,nuts seeds and dry fruits,expensive rm,kg,-
Kharek-Dry Dates,nuts seeds and dry fruits,nuts,kg,-
Kopra Chhin-Dessicated Coconut,nuts seeds and dry fruits,nuts,kg,-
Pista Fada,nuts seeds and dry fruits,expensive rm,kg,-
Pista Katran-Pistachio Flakes,nuts seeds and dry fruits,expensive rm,kg,-
Pista Whole -Pistachio Kernel,nuts seeds and dry fruits,expensive rm,kg,-
Salted Kaju-Salted Cashew,nuts seeds and dry fruits,expensive rm,kg,-
Salted Pista-Salted Pistachio,nuts seeds and dry fruits,expensive rm,kg,-
Salted Jumbo Pista,nuts seeds and dry fruits,expensive rm,kg,-
Salted Regular Pista,nuts seeds and dry fruits,expensive rm,kg,-
Kaju Crush Paste - Cashew Crush,nuts seeds and dry fruits,expensive rm,kg,-
Nariyel-Coconut Whole,nuts seeds and dry fruits,nuts,piece,-
Badam Katran-Almond Flakes,nuts seeds and dry fruits,nuts,kg,-
Salted Badam-Salted Almond,nuts seeds and dry fruits,expensive rm,kg,-
Fryola Palmolein Oil,oils and fats,expensive rm,kg,-
Kapasiya Tel-Cottonseed Oil,oils and fats,expensive rm,kg,-
Raag Dalda Ghee-Hydrogenated Fat,oils and fats,oils,litre,-
Refined-Sunflower Oil,oils and fats,expensive rm,kg,-
Sarso Oil - Mustard Seeds Oil,oils and fats,oils,litre,-
Singtel - Groundnut Oil,oils and fats,expensive rm,kg,-
Custard Oil,oils and fats,oils,kg,-
Coconut Oil (5Kg) Jar,oils and fats,oils,piece,-
Til Oil (5 Lt),oils and fats,oils,piece,-
Soyabin Oil,oils and fats,oils,litre,-
Amul Ghee,oils and fats,oils,kg,-
Green Net,other,other,piece,-
Holi Colour,other,other,kg,-
PP Crate / Carate,other,other,piece,-
Installation Charges,other,other,piece,-
Tools And Tackles,other,other,piece,-
Moulds (Dye),packaging tools,tools,piece,-
Clean Foil (600 Mtr),packing material,packing,piece,-
Butter Paper,packing material,packing,kg,-
Air Bubble Sheet (1 Mtr X 100 Mtr),packing material,packing,piece,-
Pvc Shrink Packing Roll - 18 Inch,packing material,packing,roll,-
